modified_question,modified_answer,assignment_id,objective,confidence,question,correct_answer,question_type,question_base,evidences,domain,worker_id,evidences_in_min,time_spent,video_link,video_id,time_in_original_video,duration
What kind of water features are there,There is a creek and a pond,31IBVUNM9SYL374DIR60R6FNGILFVG,water,very_high,What kind of water features are there,There is a creek and a pond,['Existence'],['scene'],"[{0: [0.0, 6.816]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:06.816']}]",4548.0,https://www.dropbox.com/s/a3ewq55teqdujtq/4k-Relaxation_11-manual.mp4?raw=1,4k-Relaxation_11-manual,"{'seconds': {'start': '25:00', 'end': '27:00'}, 'split-method': 'manual'}",120.0
Where is the creek in relation to the pond?,The creek leads into the pond.,31IBVUNM9SYL374DIR60R6FNGILFVG,water,very_high,Where are they in relation to one another?,The creek leads into the pond. ,['Spatial relationship'],['scene'],"[{0: [0.0, 7.008]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:07.008']}]",4548.0,https://www.dropbox.com/s/a3ewq55teqdujtq/4k-Relaxation_11-manual.mp4?raw=1,4k-Relaxation_11-manual,"{'seconds': {'start': '25:00', 'end': '27:00'}, 'split-method': 'manual'}",120.0
Are there any boats?,No,31IBVUNM9SYL374DIR60R6FNGILFVG,water,very_high,Are there any boats?,No,['Existence'],['scene'],"[{0: [75.744, 85.536]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['01:15.744', '01:25.536']}]",4548.0,https://www.dropbox.com/s/a3ewq55teqdujtq/4k-Relaxation_11-manual.mp4?raw=1,4k-Relaxation_11-manual,"{'seconds': {'start': '25:00', 'end': '27:00'}, 'split-method': 'manual'}",120.0
Is there any wildlife?,"Yes. There are grasses, small trees, and birds. ",31IBVUNM9SYL374DIR60R6FNGILFVG,water,very_high,Is there any wildlife?,"Yes. There are grasses, small trees, and birds. ","['Entity', 'Existence']","['audio', 'scene']","[{0: [0.0, 6.528]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:06.528']}]",4548.0,https://www.dropbox.com/s/a3ewq55teqdujtq/4k-Relaxation_11-manual.mp4?raw=1,4k-Relaxation_11-manual,"{'seconds': {'start': '25:00', 'end': '27:00'}, 'split-method': 'manual'}",120.0
Are there any roads?,"Yes, there are paved and unpaved roads. ",31IBVUNM9SYL374DIR60R6FNGILFVG,Roads,very_high,Are there any roads? What kinds?,"Yes, there are paved and unpaved roads. ",['Existence'],['scene'],"[{0: [0.0, 10.229]}, {1: [103.174, 109.524]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:10.229']}, {1: ['01:43.174', '01:49.524']}]",4548.0,https://www.dropbox.com/s/12df7z0fn35rmm9/Primal-Earth-Sounds_0-clip-44.mp4?raw=1,Primal-Earth-Sounds_0-clip-44,"{'frames': {'start': '01:53:18.625', 'end': '01:56:59.083'}, 'seconds': {'start': '6798.625', 'end': '7019.083333333333'}, 'split-method': 'auto'}",220.45833333333303
Where are the roads?,There are two in the forest and two in the mountains.,31IBVUNM9SYL374DIR60R6FNGILFVG,Roads,very_high,Where are they?,There are two in the forest and two in the mountains. ,['Location'],['scene'],"[{0: [0.0, 10.758]}, {1: [83.069, 89.065]}, {2: [100.529, 110.935]}, {3: [120.988, 129.1]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:10.758']}, {1: ['01:23.069', '01:29.065']}, {2: ['01:40.529', '01:50.935']}, {3: ['02:00.988', '02:09.100']}]",4548.0,https://www.dropbox.com/s/12df7z0fn35rmm9/Primal-Earth-Sounds_0-clip-44.mp4?raw=1,Primal-Earth-Sounds_0-clip-44,"{'frames': {'start': '01:53:18.625', 'end': '01:56:59.083'}, 'seconds': {'start': '6798.625', 'end': '7019.083333333333'}, 'split-method': 'auto'}",220.45833333333303
Are there any cars on the roads?,Yes.,31IBVUNM9SYL374DIR60R6FNGILFVG,Roads,very_high,Are there any cars on the roads?,Yes. ,"['Existence', 'Location']",['scene'],"[{0: [0.0, 10.758]}, {1: [103.174, 110.053]}, {2: [119.224, 126.984]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:10.758']}, {1: ['01:43.174', '01:50.053']}, {2: ['01:59.224', '02:06.984']}]",4548.0,https://www.dropbox.com/s/12df7z0fn35rmm9/Primal-Earth-Sounds_0-clip-44.mp4?raw=1,Primal-Earth-Sounds_0-clip-44,"{'frames': {'start': '01:53:18.625', 'end': '01:56:59.083'}, 'seconds': {'start': '6798.625', 'end': '7019.083333333333'}, 'split-method': 'auto'}",220.45833333333303
Are there any people?,"Yes, there are two.",31IBVUNM9SYL374DIR60R6FNGILFVG,People,very_high,Are there any people? How many?,"Yes, there are three. ","['Existence', 'Number']",['scene'],"[{0: [78.794, 84.773]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['01:18.794', '01:24.773']}]",4548.0,https://www.dropbox.com/s/4oubmsef0kr10bb/TreadmillTV_7-clip-15.mp4?raw=1,TreadmillTV_7-clip-15,"{'frames': {'start': '00:30:20.886', 'end': '00:32:21.439'}, 'seconds': {'start': '1820.8857333333333', 'end': '1941.4395'}, 'split-method': 'auto'}",120.55376666666666
What are the people doing there?,They are hiking.,31IBVUNM9SYL374DIR60R6FNGILFVG,People,very_high,What are they doing?,Two of them are hiking and one of them is running. ,['Motion'],['scene'],"[{0: [77.637, 84.773]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['01:17.637', '01:24.773']}]",4548.0,https://www.dropbox.com/s/4oubmsef0kr10bb/TreadmillTV_7-clip-15.mp4?raw=1,TreadmillTV_7-clip-15,"{'frames': {'start': '00:30:20.886', 'end': '00:32:21.439'}, 'seconds': {'start': '1820.8857333333333', 'end': '1941.4395'}, 'split-method': 'auto'}",120.55376666666666
Where are the people?,They are on a road in a snowy forest.,31IBVUNM9SYL374DIR60R6FNGILFVG,People,very_high,Where are they?,They are on a road in a snowy forest. ,['Location'],['scene'],"[{0: [0.0, 8.005]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:08.005']}]",4548.0,https://www.dropbox.com/s/4oubmsef0kr10bb/TreadmillTV_7-clip-15.mp4?raw=1,TreadmillTV_7-clip-15,"{'frames': {'start': '00:30:20.886', 'end': '00:32:21.439'}, 'seconds': {'start': '1820.8857333333333', 'end': '1941.4395'}, 'split-method': 'auto'}",120.55376666666666
